Dealer PPM,Created On,Brand Affiliation,Build Date,Comment,Created By,Created By Delegate,Customer Name,Date failure,Date of Repair,Delivery Date,Event Type,Hours at failure,Modified By,Modified By Delegate,Modified On,Owner,Primary Affected Unit,Prime Product Application Category Code,Prime Product Application Category Name,Prime Product Application Code,Prime Product Application Name,Prime Product Family,Prime Product Family Code,Prime Product General Arrangement Number,Prime Product Model,Prime Product Source Facility,Product SNP,Record Created On,Serial Number,Service Meter Unit,SNP,Source Plant Code,Status,Status Reason,Work Order Number
CRM-1319995-G3G1,3/18/2020 14:37,Caterpillar,,,"Jantjie, Thatayaone Kenneth",,,,,,Dealer PPM,,"Jantjie, Thatayaone Kenneth",,3/18/2020 14:37,"Jantjie, Thatayaone Kenneth",Yes,,,,,Gas Engines,ZP,,CG MANNHEI,Cat Energy Solutions Gmbh,M22,,M2215063,,M22,,Active,Active,
CRM-1322414-W8F1,3/23/2020 4:44,Caterpillar,2/15/2017,,"Wakeman, Troy",,DARACON ENGINEERING PTY LTD,,,6/30/2017,Dealer PPM,,"Wakeman, Troy",,3/23/2020 4:44,"Wakeman, Troy",Yes,111,HEAVY CONSTRUCTION,200,Highways & Streets:  Construction,Tractor Scrapers,TS,3740237,637K,Decatur Plant,WTS,,WTS00113,,WTS,13,Active,Active,
CRM-1322414-W8F1,3/23/2020 4:46,Caterpillar,2/22/2017,"First trial of the 127-0319 , installed at 5008 hours removed at 12498 hours","Wakeman, Troy",,DARACON ENGINEERING PTY LTD,,,7/11/2017,Dealer PPM,5008,"Wakeman, Troy",,3/23/2020 4:46,"Wakeman, Troy",No,111,HEAVY CONSTRUCTION,200,Highways & Streets:  Construction,Tractor Scrapers,TS,3740237,637K,Decatur Plant,WTS,,WTS00114,,WTS,13,Active,Active,
CRM-1322414-W8F1,3/23/2020 4:48,Caterpillar,2/11/2019,"Second trial of the 127-0319 , installed at 2304 hours.","Wakeman, Troy",,DAROMIN ENGINEERING PTY LTD,3/15/2020,3/15/2020,10/2/2019,Dealer PPM,2304,"Wakeman, Troy",,3/23/2020 4:48,"Wakeman, Troy",No,111,HEAVY CONSTRUCTION,200,Highways & Streets:  Construction,Tractor Scrapers,TS,3740237,637K,Decatur Plant,WTS,,WTS00141,,WTS,13,Active,Active,RT48823
CRM-1322414-W8F1,3/23/2020 4:50,Caterpillar,1/31/2019,,"Wakeman, Troy",,DAROMIN ENGINEERING PTY LTD,,,10/2/2019,Dealer PPM,,"Wakeman, Troy",,3/23/2020 4:50,"Wakeman, Troy",No,111,HEAVY CONSTRUCTION,200,Highways & Streets:  Construction,Tractor Scrapers,TS,3740237,637K,Decatur Plant,WTS,,WTS00140,,WTS,13,Active,Active,
CRM-1178458-V1G0,3/30/2020 15:01,Caterpillar,2/28/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING,2/14/2019,2/14/2019,7/5/2018,Dealer PPM,2644,"van Greune, Jaco",,3/30/2020 15:05,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00135,,FKD,PM,Active,Active,2100139424
CRM-1178458-V1G0,3/30/2020 15:04,Caterpillar,7/25/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING SERVICES 2000 PTY LTD,2/19/2020,2/19/2020,9/27/2018,Dealer PPM,5220,"van Greune, Jaco",,3/30/2020 15:04,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00159,,FKD,PM,Active,Active,2100206199
CRM-1177492-X9N8,3/30/2020 16:40,Caterpillar,3/14/2018,Isando,"van Greune, Jaco",,TROLLOPE BOTSWANA PTY LTD,,,6/25/2018,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:40,"van Greune, Jaco",No,107,MINING,570,Non-Metallic Minerals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00131,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:41,Caterpillar,2/28/2018,Isando,"van Greune, Jaco",,TROLLOPE MINING,,,7/5/2018,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:41,"van Greune, Jaco",No,107,MINING,548,Specialized Metals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00135,,FKD,PM,Active,Active,
CRM-1177492-X9N8,3/30/2020 16:42,Caterpillar,5/14/2018,Isando,"van Greune, Jaco",,TROLLOPE BOTSWANA PTY LTD,,,8/14/2018,Dealer PPM,,"van Greune, Jaco",,3/30/2020 16:42,"van Greune, Jaco",No,107,MINING,570,Non-Metallic Minerals - Surface,Hydraulic Shovels,HS,4233586,6015B,Pt Cat Indonesia (Batam),FKD,,FKD00146,,FKD,PM,Active,Active,
