Warranty Claim,Transaction Type,Transaction Description,Posting Date,Registration Number,Registration Date,Currency,Settlement Number,Settlement Date,Status,Serial Number,Customer Name,Sales Office,Area,Region,Service Order,Job Control,Claim Class,Invoiced Parts,Invoiced Labor,Invoiced Travel,Invoiced Vehicle,Invoiced Misc,Invoiced Total,Expected Settle Parts,Expected Settle Labor,Expected Settle Travel,Expected Settle Vehicle,Expected Settle Misc,Claimed Parts,Claimed Labor,Claimed Travel,Claimed Vehicle,Claimed Misc,Claimed Total,Settled Total
0073094311,YW01,J215 - STD - UNIT LOW POWER T/S,5/5/2020,L8U1510,5/5/2020,USD,C86SC 157200,5/5/2020,Closed,ZBT00693,PT. INDARTYWA MAKMURINDO PERSADA,0F19,SUMATERA,PEKAN BARU,8600191694,2W,G07,189.05,"1,407.36",128.04,0.00,151.32,"1,875.77",189.05,0.00,0.00,0.00,0.00,152.71,0.00,0.00,0.00,0.00,189.05,189.05
0073094310,YW01,RESEAL REAR STRUT PRESSURE SENSOR LH-RH,5/5/2020,L8U1503,5/5/2020,USD,C86SC 157199,5/5/2020,Closed,KDP00411,PT. WAHANA BANDHAWA KENCANA,0F63,SUMATERA,PALEMBANG,8600210833,2W,G07,1.58,340.85,0.00,0.00,0.00,342.43,1.58,0.00,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00,1.58,1.58
0073094312,YW01,J361_RS501_Update Machine Softwar,5/5/2020,L8U1542,5/5/2020,USD,C86SC 157595,5/6/2020,Closed,DNR00165,INTERNAL TRAKINDO TU,0G38,NORTHERN KALIMANTAN,SANGATTA,8600196045,2X,G13,0.00,73.08,0.00,0.00,0.00,73.08,0.00,73.08,0.00,0.00,0.00,0.00,73.08,0.00,0.00,0.00,73.08,73.08
0073094313,YW01,REMOVE PARTS MARKING RENOLD 3 ea,5/5/2020,L8U1561,5/5/2020,USD,C86SC 157208,5/5/2020,Pending,99Z00001,INTERNAL TRAKINDO TU,0G38,NORTHERN KALIMANTAN,SANGATTA,8600194052,2W,G33,"2,001.15",21.99,0.00,0.00,0.00,"2,023.14","2,001.15",0.00,0.00,0.00,0.00,"1,616.43",0.00,0.00,0.00,0.00,"2,001.14",0.00
0073094314,YW01,J248_DT-416 ENGINE WHITE SMOKE,5/5/2020,L8U1581,5/5/2020,USD,,,Registered,KDP00599,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600168536,2W,G19,"5,038.41","8,032.96",0.00,0.00,0.00,"13,071.37","5,038.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094315,YW01,NPS_Rplc Diafragma_Bladder 9 pcs,5/5/2020,L8U1589,5/5/2020,USD,C86SC 157217,5/5/2020,Pending,99Z00001,INTERNAL TRAKINDO TU,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193830,2W,G33,"9,584.28",208.91,0.00,0.00,0.00,"9,793.19","9,584.28",0.00,0.00,0.00,0.00,"7,741.71",0.00,0.00,0.00,0.00,"9,584.24",0.00
0073094346,YW01,J248_UPGRADE TO B93,5/6/2020,,,USD,,,In Process,B9K00539,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600163721,2G,G23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094345,YW01,07_2G_Oil Leaks_R E Martadinata_DG6,5/6/2020,,,USD,,,Created,RSD00195,PT POWER TURBO CHARGER,0A07,JAVA,SURABAYA,8600152162,2G,E28,"1,369.84","1,518.69",74.96,47.60,162.91,"3,174.00","1,312.88","1,283.40",74.96,47.60,56.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094347,YW01,J248_Additional hose BO singapore.,5/6/2020,,,USD,,,In Process,B9K00539,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600189835,2G,G23,62.77,0.00,0.00,0.00,0.00,62.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094348,YW01,J248_PCR 24M-04_Machine Upgrade program.,5/6/2020,,,USD,,,In Process,B9K00539,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600152790,2G,G23,981.56,28.97,0.00,0.00,0.00,"1,010.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094349,YW01,J248_Troubleshooting Product Link Not Re,5/6/2020,,,USD,,,In Process,BZP03661,PT. WIDYA SAPTA CONTRACTOR,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600113462,2G,G23,0.00,193.10,0.00,0.00,0.00,193.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094410,YW01,J248_777D-235 BRAKE CHAMBER LEAK,5/6/2020,,,USD,,,In Process,FKR01778,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600150415,2W,G23,0.00,19.32,0.00,0.00,0.00,19.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094411,YW01,J248_Product support program forreplacin,5/6/2020,,,USD,,,In Process,FKD00111,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600151647,2X,G23,0.00,434.48,0.00,0.00,0.00,434.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
