Warranty Claim,Transaction Type,Transaction Description,Posting Date,Registration Number,Registration Date,Currency,Settlement Number,Settlement Date,Status,Serial Number,Customer Name,Sales Office,Area,Region,Service Order,Job Control,Claim Class,Invoiced Parts,Invoiced Labor,Invoiced Travel,Invoiced Vehicle,Invoiced Misc,Invoiced Total,Expected Settle Parts,Expected Settle Labor,Expected Settle Travel,Expected Settle Vehicle,Expected Settle Misc,Claimed Parts,Claimed Labor,Claimed Travel,Claimed Vehicle,Claimed Misc,Claimed Total,Settled Total
0073094222,YW01,J183_70-Repl start Motor-HDCT78065,5/5/2020,L8U1295,5/5/2020,USD,C86SC 157446,5/6/2020,Closed,MSY00549,PT. BUKIT MAKMUR MANDIRI UTAMA,0G70,NORTHERN KALIMANTAN,BALIKPAPAN,8600207801,2W,G27,"2,192.42",197.91,0.00,0.00,0.00,"2,390.33","2,192.42",0.00,0.00,0.00,0.00,"1,770.94",0.00,0.00,0.00,0.00,"2,192.42","2,192.42"
0075000923,YW03,J183_70- Replace Cyl Head #7 HDCT77187,5/5/2020,,,IDR,,,In Process,FKR01079,PT. BUKIT MAKMUR MANDIRI UTAMA,0G70,NORTHERN KALIMANTAN,BALIKPAPAN,8600189917,2W,G51,"38,846,021.00","29,700,000.00",0.00,0.00,"300,000.00","68,846,021.00","38,846,021.00","29,700,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094223,YW01,2W-Replace hose hyd 176-1723,5/5/2020,L8U1323,5/5/2020,USD,C86SC 156779,5/4/2020,Closed,KDP01083,INTERNAL TRAKINDO TU,0R59,MINING BHJ,BATU HIJAU,8600208622,2W,G07,36.68,43.98,0.00,0.00,0.00,80.66,36.68,0.00,0.00,0.00,0.00,29.63,0.00,0.00,0.00,0.00,36.68,36.68
0073094224,YW01,Install p-clip to the radiator_PS45993,5/5/2020,L8U1394,5/5/2020,USD,C86SC 157369,5/6/2020,Pending,ZBT00369,CV. SRIYUDI LITAJAYA,0F13,SUMATERA,PALEMBANG,8600201671,2X,G11,48.59,21.99,0.00,0.00,0.00,70.58,48.59,21.99,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
0073094225,YW01,J183_56F-PS46113Replacing the 6v-2404,5/5/2020,L8U1420,5/5/2020,USD,C86SC 157404,5/6/2020,Closed,DWJ00560,PT. MADHANI TALATAH NUSANTARA,0G56,NORTHERN KALIMANTAN,BALIKPAPAN,8600207012,2X,G11,189.68,351.84,21.34,0.00,189.24,752.10,51.17,175.92,0.00,0.00,0.00,125.21,389.76,0.00,0.00,0.00,557.29,261.89
0073094307,YW01,J241_STD_MONITOR MALFUNCTION,5/5/2020,L8U1987,5/6/2020,USD,C86SC 157884,5/7/2020,Closed,ZBT00859,CV. FALCON,0F15,SUMATERA,PEKAN BARU,8600202636,2W,G07,"1,680.51",340.85,170.72,0.00,40.76,"2,232.84","1,680.51",0.00,0.00,0.00,0.00,"1,357.44",0.00,0.00,0.00,0.00,"1,680.51","1,680.51"
0073094306,YW01,J363_WRTY Sampling BD6069 Final drive,5/5/2020,NC73094306,5/5/2020,USD,NC-LOYUDIIS,5/5/2020,Closed,DWJ00643,PT. MADHANI TALATAH NUSANTARA,0H55,SOUTHERN KALIMANTAN,BATU LICIN,8600200865,2W,G23,0.00,98.96,42.68,0.00,50.60,192.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094308,YW01,J241_FUEL TRANSFER PUMP LEAK,5/5/2020,L8U2015,5/6/2020,USD,C86SC 157514,5/6/2020,Closed,9MK00328,PT. HANANAN PRAKARSA,0F15,SUMATERA,PEKAN BARU,8600203268,2W,G27,472.89,0.00,0.00,0.00,0.00,472.89,472.89,0.00,0.00,0.00,0.00,381.98,0.00,0.00,0.00,0.00,472.89,472.89
0073094309,YW01,regasket tube oil of turbo sn.ZBT00492,5/5/2020,,,USD,,,Created,ZBT00492,PT. XI ARTHAMEDIA,0A10,JAVA,JAKARTA,8600190388,2W,G07,23.35,177.68,170.72,0.00,144.60,516.35,23.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094350,YW01,03_Replace Fan Belt (P/N 2271364),5/6/2020,L8U1784,5/6/2020,USD,C86SC 157279,5/5/2020,Pending,REH04651,PT. MURIA SUMBA MANIS,0A03,JAVA,SURABAYA,8600202603,2W,E11,65.18,263.88,42.68,31.20,78.32,481.26,65.18,109.95,42.68,31.20,0.00,71.60,121.80,42.68,31.20,0.00,279.81,279.81
0073094351,YW01,DZ011_1361_2W REPAIR MAIN WATER PUMP,5/6/2020,L8U1779,5/6/2020,USD,C86SC 157277,5/5/2020,Closed,7PZ01577,INTERNAL TRAKINDO TU,0R59,MINING BHJ,BATU HIJAU,8600190881,2W,G27,420.08,197.91,0.00,0.00,0.00,617.99,420.08,0.00,0.00,0.00,0.00,339.33,0.00,0.00,0.00,0.00,420.09,420.09
0073094352,YW01,Rebuild 1x TILT CYLINDER,5/6/2020,L8U1838,5/6/2020,USD,C86SC 157829,5/7/2020,Closed,SBR77032,PT. FREEPORT INDONESIA,0C50,TEMBAGAPURA,LOWLAND BUSINESS,8600197008,2W,G27,413.20,263.88,0.00,0.00,0.00,677.08,413.20,0.00,0.00,0.00,0.00,333.75,0.00,0.00,0.00,0.00,413.18,413.18
0073094353,YW01,07_PS53803_3F600533_Reworking the transm,5/6/2020,,,USD,,,Created,3F600533,PT. MADHANI TALATAH NUSANTARA,0A07,JAVA,SURABAYA,8600178273,2X,G11,0.00,"1,900.16",0.00,0.00,0.00,"1,900.16",0.00,"1,900.16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094354,YW01,07_PS53803_3F600533_Reworking the transm,5/6/2020,,,USD,,,Created,3F600533,PT. MADHANI TALATAH NUSANTARA,0A07,JAVA,SURABAYA,8600157233,2X,G11,"18,880.74","1,111.29",0.00,0.00,0.00,"19,992.03","18,880.74","1,111.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094356,YW01,J21T_PS Replace Swivel Joint,5/6/2020,,,USD,,,Created,WSN00116,PT. BUKIT MAKMUR MANDIRI UTAMA,0H64,SOUTHERN KALIMANTAN,TANJUNG,8600188115,2G,G21,"1,288.20","1,462.34",0.00,0.00,"1,740.46","4,491.00","1,288.20","1,462.34",0.00,0.00,"1,740.46",0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094355,YW01,12_PS46113_TTT00492_Replacing the 6v-240,5/6/2020,,,USD,,,In Process,TTT00492,PT. BUNGA RAYA LESTARI,0A12,JAVA,SURABAYA,8600142421,2X,G11,"5,154.56",569.65,37.48,0.00,57.60,"5,819.29","5,154.56",569.65,0.00,0.00,57.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094357,YW01,RBD_DZ1565_WRT Lift Cyl Leak RH 5181322,5/6/2020,L8U2013,5/6/2020,USD,,,Registered,RJG02578,PT. THIESS CONTRACTORS INDONESIA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600174530,2W,G05,163.26,222.07,0.00,0.00,12.79,398.12,163.26,222.07,0.00,0.00,12.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094358,YW01,RB502 - Repair Bucket ex RB502,5/6/2020,,,USD,,,Created,FKD00137,INTERNAL TRAKINDO TU,0G38,NORTHERN KALIMANTAN,SANGATTA,8600170681,2G,G21,"5,027.94",19.31,0.00,0.00,0.00,"5,047.25","5,027.94",19.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094388,YW01,TJL06170_Perform Engine Goodwill,5/6/2020,,,USD,,,Created,TJL06170,INTERNAL TRAKINDO TU,0H04,SOUTHERN KALIMANTAN,TANJUNG,8600188750,2L,G21,"6,429.99","4,694.87",0.00,0.00,669.18,"11,794.04",800.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094389,YW01,Unsolicited Settlement EP%37734,5/7/2020,H5Z7874,5/5/2020,USD,86SC 288018,5/6/2020,Closed,PRB00464,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,560.00","-3,560.00","-3,560.00"
0073094430,YW01,Unsolicited Settlement EP%37735,5/7/2020,H5Z7875,5/5/2020,USD,86SC 288019,5/6/2020,Closed,PRB00467,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,560.00","-3,560.00","-3,560.00"
0073094431,YW01,Unsolicited Settlement EP%37736,5/7/2020,H5Z7876,5/5/2020,USD,86SC 288020,5/6/2020,Closed,PRB00444,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,560.00","-3,560.00","-3,560.00"
0073094432,YW01,Unsolicited Settlement EP%37737,5/7/2020,H5Z7877,5/5/2020,USD,86SC 288021,5/6/2020,Closed,PRB00442,INTERNAL TRAKINDO TU,0Z02,TRAKINDO UTAMA,TRAKINDO UTAMA,,,E35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,560.00","-3,560.00","-3,560.00"
0073094433,YW01,J217_WRTY_PEX_Inspect Tranmission Proble,5/7/2020,NC73094433,5/7/2020,USD,NC-LOMKAMALUDDIN,5/7/2020,Closed,9EM08005,PT. ANTANG GUNUNG MERATUS,0H34,SOUTHERN KALIMANTAN,BANJARMASIN,8600195855,2W,G23,0.00,"1,176.47",64.02,0.00,177.79,"1,418.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094434,YW01,J361_RD2694_ Inspect Turbocharger,5/7/2020,L8U2267,5/7/2020,USD,,,Registered,L4E01246,PT. THIESS CONTRACTORS INDONESIA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193825,2W,G27,"1,592.76",208.91,64.02,0.00,4.28,"1,869.97","1,592.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094435,YW01,J217_WTY REPAIR BUCKET CRACK 6015B,5/7/2020,L8U2370,5/7/2020,USD,,,Registered,FKD00162,INTERNAL TRAKINDO TU,0H86,SOUTHERN KALIMANTAN,BATU LICIN,8600188096,2W,G07,0.00,0.00,0.00,0.00,561.33,561.33,0.00,0.00,0.00,0.00,313.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094436,YW01,J217_EPP Steering Problem,5/7/2020,L8U2279,5/7/2020,USD,C86SC 157972,5/7/2020,Pending,DWJ00625,CV. TRETES UTAMA,0H34,SOUTHERN KALIMANTAN,BANJARMASIN,8600195708,2G,G19,13.06,43.98,42.68,0.00,163.80,263.52,13.06,43.98,0.00,0.00,0.00,10.55,48.72,0.00,0.00,0.00,62.84,62.84
0074001370,YW02,J361_ DP70_ Insp Lamp Indicator On 2,5/7/2020,,,IDR,,,In Process,30E31949,PT. PUPUK KALIMANTAN TIMUR,0G38,NORTHERN KALIMANTAN,SANGATTA,8600187698,2W,G25,"5,983,038.00","15,802,500.00",0.00,0.00,"4,319,800.00","26,105,338.00","5,983,038.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094437,YW01,J217_PEX Engine Damper & Pulley Broken,5/7/2020,L8U2288,5/7/2020,USD,,,Registered,WDM04398,PT. MADHANI TALATAH NUSANTARA,0H34,SOUTHERN KALIMANTAN,BANJARMASIN,8600195706,2W,G27,"1,633.97","1,922.37",128.04,0.00,275.11,"3,959.49","1,633.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094438,YW01,J217_WRTY LR brake cooling line leak,5/7/2020,L8U2294,5/7/2020,USD,,,Registered,FKR01738,PT. MADHANI TALATAH NUSANTARA,0H34,SOUTHERN KALIMANTAN,BANJARMASIN,8600196911,2W,G27,2.48,736.67,85.36,0.00,108.32,932.83,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094439,YW01,J217_GWL Repair crack at frame TR3193,5/7/2020,,,USD,,,Created,FKR01705,PT. MADHANI TALATAH NUSANTARA,0H34,SOUTHERN KALIMANTAN,BANJARMASIN,8500085373,1G,G21,0.00,0.00,0.00,0.00,"2,107.28","2,107.28",0.00,0.00,0.00,0.00,184.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0075000924,YW03,J183_70-CYL HEAD #4 CRACK-HDCT77187,5/8/2020,,,IDR,,,In Process,FKR01079,PT. BUKIT MAKMUR MANDIRI UTAMA,0G70,NORTHERN KALIMANTAN,BALIKPAPAN,8600185967,2W,G51,"20,706,102.00","47,250,000.00",0.00,0.00,"300,000.00","68,256,102.00","20,706,102.00","47,250,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0075000925,YW03,J183_70_R/I CYLINDER HEAD #01,5/8/2020,,,IDR,,,In Process,2BW01983,PT. BUKIT MAKMUR MANDIRI UTAMA,0G70,NORTHERN KALIMANTAN,BALIKPAPAN,8600200725,2W,G51,"20,706,102.00","42,150,000.00",0.00,0.00,"500,000.00","63,356,102.00","20,706,102.00","42,150,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094465,YW01,J183_56F-PS46113Replacing the locknut,5/8/2020,L8U2731,5/8/2020,USD,,,Registered,DWJ00602,PT. MADHANI TALATAH NUSANTARA,0G56,NORTHERN KALIMANTAN,BALIKPAPAN,8600207014,2X,G11,155.00,351.84,21.34,0.00,189.24,717.42,155.00,351.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094466,YW01,J214_REPLACE_VALVE-INLET_3581229,5/8/2020,L8U2718,5/8/2020,USD,,,Registered,99Z00001,INTERNAL TRAKINDO TU,0F22,SUMATERA,PALEMBANG,,2W,G33,64.44,0.00,0.00,0.00,0.00,64.44,64.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094467,YW01,J192 - ZBT00593 - WTY_SWITCH LOCK HYD,5/8/2020,,,USD,,,Created,ZBT00593,PT. SINAR ALAM CAHAYA MENTARI,0A37,SOUTHERN KALIMANTAN,PONTIANAK,8600203997,2W,G07,42.36,197.91,213.40,0.00,103.84,557.51,42.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094468,YW01,J215 - PI33112 - REP TRANS SOFTWARE,5/8/2020,L8U2757,5/8/2020,USD,,,Registered,SZN01801,PT. DUTAPALMA NUSANTARA,0F19,SUMATERA,PEKAN BARU,8600189850,2X,G13,0.00,32.09,74.96,0.00,173.31,280.36,0.00,32.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094469,YW01,J214_UNCLAIMABLE WARRANTY EPP NOT YET,5/8/2020,,,USD,,,In Process,SZK11225,PT. BARA PERMATA MINING,0F22,SUMATERA,PALEMBANG,8600150979,2G,G23,173.72,376.55,187.40,0.00,284.17,"1,021.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094480,YW01,J192 - ZBT00353-WTY_GASKET FRONT HOUSING,5/8/2020,,,USD,,,Created,ZBT00353,PT SAMBAS KARYA PERKASA,0A37,SOUTHERN KALIMANTAN,PONTIANAK,8600207528,2W,G07,243.09,791.64,0.00,0.00,18.57,"1,053.30",243.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094481,YW01,J214_UNCLAIMABLE WARRANTY (LABOR ONLY),5/8/2020,,,USD,,,In Process,WT302219,PT. BAHTERA ALAM SEJAHTERA,0F22,SUMATERA,PALEMBANG,8600189676,2G,G23,0.00,329.85,170.72,70.20,163.73,734.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094482,YW01,J214_UNCLAIMABLE WARRANTY (LABOR ONLY),5/8/2020,,,USD,,,Created,LXK01888,PT. MUTIARA ENDIKAT,0F22,SUMATERA,PALEMBANG,8600204562,2G,E33,0.00,133.70,21.34,7.80,15.48,178.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094105,YW01,J361_G206_Engine high silica_HE519774,5/1/2020,NC73094105,5/1/2020,USD,NC-LOIGKINDRAYANA,5/1/2020,Closed,7KK00292,PT. KALTIM PRIMA COAL,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193848,2W,G23,0.00,835.62,42.68,0.00,5.13,883.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094106,YW01,J361_T797 Trans Particles_HT618409,5/1/2020,NC73094106,5/1/2020,USD,NC-LOIGKINDRAYANA,5/1/2020,Closed,SPD00408,PT. KALTIM PRIMA COAL,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193736,2W,G23,0.00,"4,106.63",85.36,0.00,0.00,"4,191.99",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094107,YW01,J361_G212_Eng brake problem_HE520483,5/1/2020,NC73094107,5/1/2020,USD,NC-LOIGKINDRAYANA,5/1/2020,Closed,B9K00337,PT. KALTIM PRIMA COAL,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193738,2W,G23,0.00,219.90,42.68,0.00,9.62,272.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094108,YW01,FLD_WRY_G101_Eng oil high topup_HE519174,5/1/2020,NC73094108,5/1/2020,USD,NC-LOIGKINDRAYANA,5/1/2020,Closed,93U03104,PT. KALTIM PRIMA COAL,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193850,2W,G23,0.00,131.94,42.68,0.00,1.92,176.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094109,YW01,J361_G101_Engine high silica_HE520239,5/1/2020,NC73094109,5/1/2020,USD,NC-LOIGKINDRAYANA,5/1/2020,Closed,93U03104,PT. KALTIM PRIMA COAL,0G38,NORTHERN KALIMANTAN,SANGATTA,8600193849,2W,G23,0.00,109.95,42.68,0.00,1.92,154.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094148,YW01,REPLACE VALVE PRESSURE AIR BRAKE SYSTEM,5/1/2020,L8U0834,5/1/2020,USD,C86SC 156461,5/1/2020,Closed,KDP00836,PT. WAHANA BANDHAWA KENCANA,0F63,SUMATERA,PALEMBANG,8600208131,2G,G19,249.21,241.89,21.34,0.00,33.23,545.67,249.21,0.00,0.00,0.00,33.23,201.30,0.00,0.00,0.00,0.00,249.21,249.21
0073094149,YW01,J216_STD_REPLACE RING PISTON,5/1/2020,L8U2826,5/8/2020,USD,,,Registered,DTG10021,PT. ALLIED INDO COALJAYA,0F18,SUMATERA,PEKAN BARU,8600190764,2W,G07,"1,328.29","1,737.21",170.72,0.00,170.32,"3,406.54","1,328.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094160,YW01,J248_Replacing rocker arm_8500080501,5/2/2020,,,USD,,,In Process,KDP00433,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600189317,2G,G23,"4,015.70",21.99,0.00,0.00,515.08,"4,552.77",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094161,YW01,J248_CWP_4149_T/S EG Cant Run_EX.E47113,5/2/2020,,,USD,,,In Process,B9H00601,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600187652,2W,G23,601.48,"4,123.13",0.00,0.00,0.00,"4,724.61",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094162,YW01,J248_Repair For Wrty Differential,5/2/2020,,,USD,,,In Process,FKR01588,PT. MADHANI TALATAH NUSANTARA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600187389,2W,G23,0.00,"1,143.48",0.00,0.00,0.00,"1,143.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094163,YW01,J248_Troubleshoot Stick Cylinder Drift,5/2/2020,,,USD,,,In Process,GAY20019,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600187535,2G,G23,0.00,"1,528.31",213.40,0.00,0.00,"1,741.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094164,YW01,J248_Part Stock injector SX 1400258401,5/2/2020,,,USD,,,In Process,99Z00001,INTERNAL TRAKINDO TU,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600182731,2W,G23,576.40,0.00,0.00,0.00,7.12,583.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094165,YW01,J248_Replacing the brakesection of the,5/2/2020,,,USD,,,In Process,DNR00135,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600178953,2X,G23,168.92,494.78,0.00,0.00,0.00,663.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094166,YW01,J248_DM-05 Travel LH Problem,5/2/2020,,,USD,,,In Process,DR311058,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600201001,2W,G23,0.00,"2,550.84",0.00,0.00,0.00,"2,550.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094167,YW01,"J248_Inspect engine oil SOS rating ""C""",5/2/2020,,,USD,,,In Process,FKR01850,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600190472,2W,G23,0.00,"1,330.40",0.00,0.00,0.00,"1,330.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094168,YW01,J248_PRODUCT SUPPORT PROGRAM FOR REPLAC,5/2/2020,L8U0870,5/2/2020,USD,,,Registered,KDP00475,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600178219,2X,G11,118.95,120.95,0.00,0.00,0.00,239.90,118.95,65.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094169,YW01,J248_PRODUCT SUPPORT PROGRAM FOR REPLACI,5/2/2020,L8U0871,5/2/2020,USD,,,Registered,KDP00398,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600178217,2X,G11,118.95,142.94,0.00,0.00,0.00,261.89,118.95,65.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094180,YW01,J248_AC Problem ref doc#2200257903,5/2/2020,L8U0873,5/2/2020,USD,C86SC 156525,5/4/2020,Closed,WSN00115,PT. BUKIT MAKMUR MANDIRI UTAMA,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600190329,2W,G27,576.83,131.94,0.00,0.00,0.00,708.77,576.83,0.00,0.00,0.00,0.00,465.94,0.00,0.00,0.00,0.00,576.83,576.83
0073094189,YW01,J248_PCR 24M-04_Machine Upgrade program,5/4/2020,L8U1525,5/5/2020,USD,,,Registered,B9K00539,PT. SAPTAINDRA SEJATI,0H35,SOUTHERN KALIMANTAN,TANJUNG,8600172571,2G,G21,"94,565.39","10,313.31",0.00,0.00,0.00,"104,878.70","94,565.39","10,313.31",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094188,YW01,J361_Replacing transmission soft,5/4/2020,L8U1049,5/4/2020,USD,C86SC 156566,5/4/2020,Closed,SZN10309,PT. BUDHI WIGUNA PRIMA,0G38,NORTHERN KALIMANTAN,SANGATTA,8600194330,2X,G13,0.00,36.54,42.68,0.00,0.00,79.22,0.00,36.54,0.00,0.00,0.00,0.00,36.54,0.00,0.00,0.00,36.54,36.54
0073094220,YW01,J361_PI33112_Repl.trans.software,5/4/2020,L8U1056,5/4/2020,USD,C86SC 156567,5/4/2020,Closed,SZN10103,PT. KUTAI BALIAN NAULI,0G38,NORTHERN KALIMANTAN,SANGATTA,8600194331,2X,G13,0.00,36.54,0.00,0.00,0.00,36.54,0.00,36.54,0.00,0.00,0.00,0.00,36.54,0.00,0.00,0.00,36.54,36.54
0073094226,YW01,Install a p-clip to the radiator_PS45993,5/5/2020,L8U1430,5/5/2020,USD,C86SC 157187,5/5/2020,Pending,ZBT00368,CV. SRIYUDI LITAJAYA,0F13,SUMATERA,PALEMBANG,8600201670,2X,G11,48.59,21.99,0.00,0.00,0.00,70.58,48.59,21.99,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
0073094227,YW01,Install p-clip to the radiator_PS45993,5/5/2020,L8U1475,5/5/2020,USD,C86SC 157573,5/6/2020,Pending,YBP00384,PT. RAJEHAN ARIQ,0F13,SUMATERA,PALEMBANG,8600201663,2X,G11,48.59,24.36,0.00,0.00,0.00,72.95,48.59,24.36,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
0073094228,YW01,2W - Replace Air Compressor Gp,5/5/2020,,,USD,,,Created,4GZ00221,INTERNAL TRAKINDO TU,0R59,MINING BHJ,BATU HIJAU,8600176287,2W,G23,"4,482.73",43.98,0.00,0.00,0.00,"4,526.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094229,YW01,Install a p-clip to the radiator_PS45993,5/5/2020,L8U1465,5/5/2020,USD,C86SC 157192,5/5/2020,Pending,ZBT00367,CV. SRIYUDI LITAJAYA,0F13,SUMATERA,PALEMBANG,8600201669,2X,G11,48.59,21.99,0.00,0.00,0.00,70.58,48.59,21.99,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
0073094300,YW01,Install p-clip to the radiator_PS45993,5/5/2020,L8U1481,5/5/2020,USD,C86SC 157197,5/5/2020,Pending,ZBT00366,CV. SRIYUDI LITAJAYA,0F13,SUMATERA,PALEMBANG,8600201668,2X,G11,48.59,21.99,0.00,0.00,0.00,70.58,48.59,21.99,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
0073094301,YW01,Install a p-clip to the radiator_PS45993,5/5/2020,L8U1478,5/5/2020,USD,C86SC 157195,5/5/2020,Pending,ZBT00365,CV. SRIYUDI LITAJAYA,0F13,SUMATERA,PALEMBANG,8600201667,2X,G11,48.59,21.99,0.00,0.00,0.00,70.58,48.59,21.99,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
0073094302,YW01,Install a p-clip to the radiator_PS45993,5/5/2020,L8U1487,5/5/2020,USD,C86SC 157576,5/6/2020,Pending,ZBT00313,CV. GUNUNG MANIK,0F13,SUMATERA,PALEMBANG,8600201666,2X,G11,48.59,21.99,0.00,0.00,0.00,70.58,48.59,21.99,0.00,0.00,0.00,39.25,24.36,0.00,0.00,0.00,76.88,76.88
